quintil_ingreso,ocupados,observaciones,cobertura_4d,exposicion_promedio_4d,participacion_not_exposed,participacion_minimal_exposure,participacion_gradient_1,participacion_gradient_2,participacion_gradient_3,participacion_gradient_4,participacion_sin_correspondencia_4d,participacion_expuesta_g1_g4,participacion_alta_g3_g4,participacion_muestra_ingreso,ingreso_min,ingreso_mediana_ponderada,ingreso_max
1,4590671.806070462,67676,0.9536053447743654,0.21136295201760763,0.7059178473600123,0.07241068741720073,0.08653679176999157,0.0762395428334504,0.004754564827505093,0.007745910566205424,0.0463946552256343,0.17527680999715248,0.012500475393710518,0.2000371458512263,1.0,400000.0,670000.0
2,5001574.231259784,80415,0.964751468532233,0.2078335924999725,0.6814421929680543,0.12165907942222473,0.09399829958196035,0.046432295732625015,0.012353955821114985,0.008865645006253666,0.035248531467767005,0.161650196141954,0.02121960082736865,0.21794209567785683,671999.9999999999,999999.9999999999,1300000.0
3,4594076.566941588,71881,0.9661843569876706,0.26320258642151273,0.5638838879138318,0.1263015486426153,0.12156258110904533,0.06244147258955172,0.052001620144571166,0.039993246588055094,0.03381564301232958,0.27599892043122337,0.09199486673262626,0.2001855072840923,1302000.0,1423500.0,1500000.0
4,4185677.83764892,61623,0.9619339437404201,0.28452107521019554,0.5216328989426063,0.14873817286695462,0.08972623764053404,0.08639974613025996,0.06421949644131743,0.05121739171874764,0.038066056259580046,0.29156287193085906,0.11543688816006506,0.18238965525456058,1501300.0,1799999.9999999998,2200000.0
5,4577096.269770402,65496,0.9778741572487911,0.3584015661246097,0.3468312650560678,0.25212781501441556,0.04844607967882882,0.1624469222219347,0.12626656732218958,0.0417555079553546,0.022125842751208952,0.37891507717830764,0.16802207527754415,0.199445595932264,2203000.0,3500000.0,102999999.99999999
