sexo,ocupados,observaciones,cobertura_4d,exposicion_promedio_4d,participacion_not_exposed,participacion_minimal_exposure,participacion_gradient_1,participacion_gradient_2,participacion_gradient_3,participacion_gradient_4,participacion_sin_correspondencia_4d,participacion_expuesta_g1_g4,participacion_alta_g3_g4
Hombre,13496622.5154619,193995,0.9552166229268895,0.2404973954300017,0.6072312922934969,0.15732042005388616,0.06753018598640505,0.07225930891461317,0.034857726925522754,0.01601768875296556,0.04478337707311055,0.19066491057950652,0.050875415678488314
Mujer,9458775.063357774,153189,0.978693159398519,0.29679362608173315,0.5092225071515135,0.12423799518586458,0.11761600352274582,0.10576993586435939,0.07388628726890842,0.04796043040512742,0.021306840601480994,0.34523265706114104,0.12184671767403586
