educacion,ocupados,observaciones,cobertura_4d,exposicion_promedio_4d,participacion_not_exposed,participacion_minimal_exposure,participacion_gradient_1,participacion_gradient_2,participacion_gradient_3,participacion_gradient_4,participacion_sin_correspondencia_4d,participacion_expuesta_g1_g4,participacion_alta_g3_g4,educ_hom_cod
Ninguno,665361.76405985,8729,0.9340043115638761,0.16731428500584303,0.8140687886104778,0.04369618150659381,0.05075481848132776,0.024630211706298668,0.00033782106263644706,0.0005164901965414966,0.06599568843612377,0.07623934144680439,0.0008543112591779436,1
Preescolar,1848.063289879167,27,1.0,0.20147396958261396,0.648963813599209,0.22386726722830425,0.09808829792011396,0.029080621252372832,0.0,0.0,0.0,0.12716891917248682,0.0,2
Básica primaria,4153613.496437695,58927,0.9659739062245514,0.17913447075554506,0.7919255383937815,0.07311782272771168,0.05451760775761986,0.043821746838576175,0.001465475974433888,0.001125714532428164,0.03402609377544879,0.10093054510305811,0.0025911905068620516,3
Básica secundaria,2488017.450294475,36560,0.9612909821856317,0.19344267811289184,0.7356326731154907,0.1002855452119335,0.07588969754866802,0.043368353211082164,0.0036153067357737414,0.002499406362683702,0.03870901781436821,0.12537276385820764,0.006114713098457443,4
Media,7900965.888463066,119486,0.9554969273623487,0.2425986134461111,0.5950903879897109,0.13251798379342614,0.11701065828873394,0.06900179552220928,0.023960169023460244,0.01791593274480822,0.04450307263765123,0.22788855557921164,0.04187610176826847,5
Superior o universitaria,7745590.916274711,123455,0.9776914725953599,0.36060929467514335,0.34186348762151814,0.21544007056466297,0.08394762711028869,0.145136538234308,0.1245508761881313,0.0667528728764509,0.022308527404639997,0.42038791440917883,0.19130374906458217,6
