oficio_c8_4d,oficio_c8_label,occupation_name_isco08,grupo_exposicion_4d,ocupados,observaciones,exposicion_promedio_4d,desviacion_tareas_4d,participacion_empleo
2434,Profesionales de ventas de tecnología de la información y las comunicaciones,Information and Communications Technology Sales Professionals,Gradient 3,845.1477515980793,13,0.51,0.09,3.681695116349778e-05
4413,"Codificadores de datos, correctores de pruebas de imprenta y afines","Coding, Proofreading and Related Clerks",Gradient 3,539.8349971658536,9,0.51,0.2,2.351669124057972e-05
4323,Empleados de servicios de transporte,Transport Clerks,Gradient 3,23973.162957452394,335,0.5,0.1,0.0010443366478466824
2433,Profesionales de ventas técnicas y médicas (excluyendo las TIC),Technical and Medical Sales Professionals (excluding ICT),Gradient 3,11981.305831835456,145,0.5,0.1,0.0005219385022932594
3322,Representantes comerciales,Commercial Sales Representatives,Gradient 2,311582.12095335196,5188,0.49,0.08,0.013573370702184671
2511,Analistas de sistemas,Systems Analysts,Gradient 2,104167.50326940892,1219,0.49,0.05,0.004537821787304675
2166,Diseñadores gráficos y multimedia,Graphic and Multimedia Designers,Gradient 2,76570.17187238442,955,0.49,0.09,0.003335606434585722
3313,Técnicos de contabilidad y afines,Accounting Associate Professionals,Gradient 2,24192.37593571156,248,0.49,0.13,0.001053886165667338
2529,Profesionales en bases de datos y en redes de computadores no clasificados en otros grupos primarios,Database and Network Professionals Not Elsewhere Classified,Gradient 2,2754.0889027354906,26,0.49,0.06,0.00011997565684841868
3352,Agentes de administración tributaria,Government Tax and Excise Officials,Gradient 2,1230.5990370656664,21,0.49,0.12,5.360826502090762e-05
3332,Organizadores de conferencias y eventos,Conference and Event Planners,Gradient 2,17732.2952663373,268,0.48,0.14,0.0007724673556818902
2153,Ingenieros de telecomunicaciones,Telecommunications Engineers,Gradient 2,8745.23204172237,71,0.48,0.12,0.0003809662634548032
4213,Prestamistas,Pawnbrokers and Money-lenders,Gradient 2,8364.031020100228,184,0.48,0.06,0.00036436010273320176
2632,"Sociólogos, antropólogos y afines","Sociologists, Anthropologists and Related Professionals",Gradient 2,4249.179468316274,36,0.48,0.12,0.0001851058973701626
3512,Técnicos en asistencia y soporte al usuario de tecnología de la información y las comunicaciones,Information and Communications Technology User Support Technicians,Gradient 2,28182.511642755107,382,0.47,0.19,0.0012277074072007512
1346,"Gerentes de sucursales de bancos, de servicios financieros y de seguros",Financial and Insurance Services Branch managers,Gradient 2,14678.84366848653,175,0.47,0.12,0.0006394506397933312
2656,"Locutores de radio, televisión y otros medios de comunicación","Announcers on Radio, Television and Other Media",Gradient 2,4506.8631153054,90,0.47,0.12,0.00019633130290297218
2621,Archivistas y curadores de arte,Archivists and Curators,Gradient 2,3995.8725037169074,48,0.47,0.11,0.00017407115211124857
2633,"Filósofos, historiadores y especialistas en ciencias políticas","Philosophers, Historians and Political Scientists",Gradient 2,1071.8561518122883,15,0.47,0.06,4.669299009664119e-05
2356,Instructores de tecnología de la información,Information Technology Trainers,Gradient 2,841.7521943149447,23,0.47,0.1,3.6669031386831947e-05
5243,Vendedores puerta a puerta,Door-to-door Salespersons,Gradient 2,85843.3229933959,1255,0.46,0.18,0.003739570299257252
2421,Analistas de gestión y organización,Management and Organization Analysts,Gradient 2,22877.428539872326,291,0.46,0.1,0.0009966034550837276
4411,Empleados de bibliotecas,Library Clerks,Gradient 2,2124.353650142055,31,0.46,0.18,9.254266421863842e-05
4212,Receptores de apuestas y afines,"Bookmakers, Croupiers and Related Gaming Workers",Gradient 2,16927.624624052194,322,0.45,0.19,0.0007374136982785632
2423,Profesionales de gestión de talento humano,Personnel and Careers Professionals,Gradient 2,13620.486410813908,169,0.45,0.07,0.0005933456985027853
3522,Técnicos de ingeniería de las telecomunicaciones,Telecommunications Engineering Technicians,Minimal Exposure,11726.709942081448,162,0.45,0.04,0.0005108476079238708
3315,Tasadores y evaluadores,Valuers and Loss Assessors,Gradient 2,10050.567464711503,89,0.45,0.19,0.0004378302501710922
