formalidad,ocupados,observaciones,cobertura_4d,exposicion_promedio_4d,participacion_not_exposed,participacion_minimal_exposure,participacion_gradient_1,participacion_gradient_2,participacion_gradient_3,participacion_gradient_4,participacion_sin_correspondencia_4d,participacion_expuesta_g1_g4,participacion_alta_g3_g4
Formal,10135948.684384279,149216,0.9766131093264945,0.31990527599049906,0.44916511655883723,0.1826641360887947,0.08051885733879476,0.11003398831637863,0.09995216781437524,0.05427884320931383,0.023386890673505554,0.34478385667886247,0.1542310110236891
Informal,12457277.614055566,192076,0.9562712818369236,0.21654499022738272,0.6649426125253569,0.11134752226233895,0.09466677649676089,0.06600294887805612,0.01049518984421781,0.008816231830192915,0.04372871816307643,0.17998114704922774,0.019311421674410724
Pensionado ocupado,362171.2803798305,5892,0.9332585338074114,0.3009437761007031,0.48624338716862286,0.16531478650497242,0.07871255843674788,0.10546040752366158,0.07036398970187567,0.027163404471531122,0.06674146619258851,0.2817003601338163,0.09752739417340679
