grupo_exposicion_es,ocupados,observaciones,participacion
Muy baja o ninguna,16310626.25823352,241329,0.7105355593267046
Baja,2023932.7498301924,35503,0.08816805471919252
Media,1975710.6474554387,30008,0.08606736784547674
Alta,1169335.353604073,16667,0.050939451150390315
Muy alta,669831.6218128611,11321,0.029179700308519015
Sin correspondencia 4d,805960.9478835915,12356,0.03510986664971684
